"Scientific","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","BodyMass.Value"
"Dendrolagus pulcherrimus","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,9.16032100264353
"Dendrolagus scottae","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,9.24725072599628
"Dendrolagus spadix","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,9.11613957657736
"Dendrolagus stellarum","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,9.16032100264353
"Dendrolagus ursinus","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,9.49182830026464
"Dendrolagus bennettianus","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,9.30118605527576
"Dendrolagus dorianus","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,9.16764161744307
"Dendrolagus goodfellowi","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,8.99044155082686
"Dorcopsis luctuosa","Macropodidae",0,0,0,0,0,0,20,0,0,80,1,1,0,8.75668242126653
"Dorcopsis muelleri","Macropodidae",0,0,0,0,0,0,20,0,0,80,1,1,0,8.61268517287546
"Dorcopsis hageni","Macropodidae",0,0,0,0,0,0,20,0,0,80,1,1,0,8.61268517287546
"Dorcopsis atrata","Macropodidae",0,0,0,0,0,0,20,0,0,80,1,1,0,8.68566934138814
"Dorcopsulus vanheurni","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,1,1,7.48815360610009
"Dorcopsulus macleayi","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,0,0,8.00269416228394
"Petrogale purpureicollis","Macropodidae",0,0,0,0,0,0,10,0,0,90,1,0,0,8.67436786578824
"Petrogale coenensis","Macropodidae",0,0,0,0,0,0,10,0,0,90,1,0,0,8.32461279218431
"Petrogale brachyotis","Macropodidae",0,0,0,0,0,0,10,0,10,80,1,0,0,8.30671904320269
"Petrogale assimilis","Macropodidae",0,0,0,0,0,0,10,0,0,90,1,0,0,8.41205487329293
"Petrogale penicillata","Macropodidae",0,0,0,0,0,0,20,0,10,70,1,0,0,8.86799089818209
"Lagostrophus fasciatus","Macropodidae",0,0,0,0,0,0,50,0,0,50,1,0,0,7.43897159239586
"Hypsiprymnodon moschatus","Hypsiprymnodontidae",70,0,0,0,0,0,20,0,0,10,0,0,1,6.25575004175337
"Echinops telfairi","Tenrecidae",60,0,0,0,0,0,40,0,0,0,1,0,0,5.19849703126583
"Macroscelides proboscideus","Macroscelididae",80,0,0,0,0,0,10,0,0,10,0,0,1,3.66867674679642
"Dendrohyrax arboreus","Procaviidae",0,0,0,0,0,0,30,0,0,70,1,1,0,7.9898959862554
"Dendrohyrax dorsalis","Procaviidae",0,0,0,0,0,0,30,0,0,70,1,1,0,8.06337782236703
"Loxodonta cyclotis","Elephantidae",0,0,0,0,0,0,10,0,0,90,1,1,1,15.3736553886424
"Tolypeutes matacus","Dasypodidae",80,0,0,0,0,0,20,0,0,0,1,1,1,7.09090982207998
"Tolypeutes tricinctus","Dasypodidae",80,0,0,0,0,0,20,0,0,0,1,1,1,7.30518821539304
"Choloepus didactylus","Megalonychidae",0,0,0,0,0,0,30,0,0,70,1,0,0,8.54888563814873
"Choloepus hoffmanni","Megalonychidae",0,0,0,0,0,0,30,0,0,70,1,0,0,8.46611250600474
"Anathana ellioti","Tupaiidae",80,0,0,0,0,0,20,0,0,0,0,0,1,5.08140436498446
"Urogale everetti","Tupaiidae",60,0,0,0,20,0,10,0,0,10,0,0,1,5.86078622346587
"Ptilocercus lowii","Ptilocercidae",40,0,0,0,30,0,30,0,0,0,1,0,0,3.75840551676255
"Allocebus trichotis","Cheirogaleidae",0,0,0,0,0,0,50,0,0,50,1,0,0,4.36309862478836
"Cheirogaleus crossleyi","Cheirogaleidae",10,0,0,0,0,0,50,0,0,40,1,0,0,5.65735451827579
"Cheirogaleus major","Cheirogaleidae",20,0,0,0,0,0,30,20,0,30,1,0,0,6.11146733950268
"Cheirogaleus medius","Cheirogaleidae",20,0,0,0,0,0,30,20,0,30,1,0,0,5.2040066870768
"Cheirogaleus minusculus","Cheirogaleidae",10,0,0,0,0,0,50,0,0,40,1,0,0,5.65735451827579
"Cheirogaleus ravus","Cheirogaleidae",10,0,0,0,0,0,50,0,0,40,1,0,0,5.65735451827579
"Cheirogaleus sibreei","Cheirogaleidae",10,0,0,0,0,0,50,0,0,40,1,0,0,5.65735451827579
"Cheirogaleus adipicaudatus","Cheirogaleidae",10,0,0,0,0,0,50,0,0,40,1,0,0,5.65735451827579
"Microcebus murinus","Cheirogaleidae",20,0,20,0,0,0,30,10,0,20,1,0,0,4.24849524204936
"Microcebus tavaratra","Cheirogaleidae",20,0,20,0,0,0,30,10,0,20,1,0,0,4.23425142163251
"Microcebus sambiranensis","Cheirogaleidae",20,0,20,0,0,0,30,10,0,20,1,0,0,3.91322228600363
"Microcebus rufus","Cheirogaleidae",20,0,20,0,0,0,30,10,0,20,1,0,0,3.77276093809464
"Microcebus griseorufus","Cheirogaleidae",20,0,20,0,0,0,30,10,0,20,1,0,0,4.26605445842146
"Microcebus berthae","Cheirogaleidae",20,0,20,0,0,0,30,10,0,20,1,0,0,3.53950899745967
"Microcebus myoxinus","Cheirogaleidae",20,0,20,0,0,0,30,10,0,20,1,0,0,3.43398720448515
"Microcebus ravelobensis","Cheirogaleidae",20,0,20,0,0,0,30,10,0,20,1,0,0,4.02535169073515
"Mirza coquereli","Cheirogaleidae",60,0,0,0,10,0,10,0,10,10,1,0,0,5.73334127689775
"Eulemur albocollaris","Lemuridae",0,0,0,0,0,0,80,0,0,20,0,0,1,7.78254461893121
"Eulemur sanfordi","Lemuridae",0,0,0,0,0,0,80,0,0,20,0,0,1,7.7811510358626
"Eulemur rufus","Lemuridae",0,0,0,0,0,0,30,0,0,70,0,0,1,7.78139734899463
"Eulemur rubriventer","Lemuridae",0,0,0,0,0,0,30,0,0,70,0,0,1,7.24494154633701
"Eulemur mongoz","Lemuridae",0,0,0,0,0,0,20,50,0,30,1,1,1,7.37838371299671
"Eulemur macaco","Lemuridae",0,0,0,0,0,0,30,0,0,70,0,0,1,7.62119516280984
"Eulemur fulvus","Lemuridae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.05547514175727
"Eulemur coronatus","Lemuridae",0,0,0,0,0,0,30,0,0,70,0,0,1,7.40913644392013
"Eulemur cinereiceps","Lemuridae",0,0,0,0,0,0,80,10,0,10,0,0,1,7.65683845987232
"Eulemur albifrons","Lemuridae",20,0,0,0,0,0,40,0,0,40,0,0,1,7.74109909003537
"Eulemur collaris","Lemuridae",0,0,0,0,0,0,100,0,0,0,0,0,1,7.77317368048254
"Lemur catta","Lemuridae",0,0,0,0,0,0,80,0,0,20,0,0,1,7.9728107841214
"Prolemur simus","Lemuridae",0,0,0,0,0,0,10,0,0,90,0,1,0,7.61648541220668
"Varecia rubra","Lemuridae",0,0,0,0,0,0,90,0,0,10,0,1,0,8.26193958618379
"Varecia variegata","Lemuridae",0,0,0,0,0,0,100,0,0,0,0,1,0,8.25608813381491
"Avahi laniger","Indriidae",0,0,0,0,0,0,20,0,0,80,1,0,0,6.80350525760834
"Indri indri","Indriidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.98732181285012
"Propithecus edwardsi","Indriidae",0,0,0,0,0,0,40,0,10,50,0,0,1,8.79091882426608
"Propithecus verreauxi","Indriidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.15507488781144
"Propithecus perrieri","Indriidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.56617381363786
"Propithecus deckenii","Indriidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.29429960885724
"Propithecus coquereli","Indriidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.34052044998088
"Propithecus tattersalli","Indriidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.16080392095467
"Propithecus diadema","Indriidae",0,0,0,0,0,0,30,0,0,70,0,0,1,8.92279162396964
"Arctocebus aureus","Lorisidae",70,0,0,0,0,0,30,0,0,0,1,0,0,5.46383180502561
"Arctocebus calabarensis","Lorisidae",70,0,0,0,0,0,30,0,0,0,1,0,0,5.35185813347607
"Loris tardigradus","Lorisidae",70,0,0,0,10,0,10,0,0,10,1,0,0,5.432279916211
"Nycticebus coucang","Lorisidae",40,30,10,0,0,0,20,0,0,0,1,0,0,6.69022096643244
"Nycticebus pygmaeus","Lorisidae",40,30,10,0,0,0,20,0,0,0,1,0,0,6.80350525760834
"Nycticebus bengalensis","Lorisidae",40,30,10,0,0,0,20,0,0,0,1,0,0,7.03734390912389
"Perodicticus potto","Lorisidae",10,0,0,0,0,0,80,10,0,0,1,0,0,7.0039650540293
"Pseudopotto martini","Lorisidae",10,0,0,0,0,0,80,10,0,0,1,0,0,6.16499759786886
"Euoticus elegantulus","Galagidae",20,0,0,0,0,0,20,60,0,0,1,0,0,5.70711026474888
"Euoticus pallidus","Galagidae",20,0,0,0,0,0,20,60,0,0,1,0,0,5.44241771052179
"Galago gabonensis","Galagidae",20,0,0,0,0,0,80,0,0,0,1,0,0,5.11607580655425
"Galago thomasi","Galagidae",80,0,0,0,0,0,20,0,0,0,1,0,0,4.77364633595999
"Galago rondoensis","Galagidae",50,0,0,0,0,0,50,0,0,0,1,0,0,5.11607580655425
"Galago nyasae","Galagidae",90,0,0,0,0,0,10,0,0,0,1,0,0,5.11607580655425
"Galago orinus","Galagidae",80,0,0,0,0,0,20,0,0,0,1,0,0,5.11607580655425
"Galago zanzibaricus","Galagidae",80,0,0,0,0,0,10,10,0,0,1,0,0,4.99957434673683
"Galago granti","Galagidae",80,0,0,0,0,0,20,0,0,0,1,0,0,5.11607580655425
"Galago cameronensis","Galagidae",50,0,0,0,0,0,50,0,0,0,1,0,0,5.11607580655425
"Galago demidoff","Galagidae",80,0,0,0,0,0,10,10,0,0,1,0,0,4.20528945617383
"Otolemur monteiri","Galagidae",20,0,0,0,0,0,20,60,0,0,1,0,0,7.36401489043561
"Otolemur garnettii","Galagidae",20,0,0,0,0,0,20,60,0,0,1,0,0,6.63463335786169
"Otolemur crassicaudatus","Galagidae",20,0,0,0,0,0,20,60,0,0,1,0,0,7.31388683163346
"Saguinus niger","Cebidae",10,0,0,0,20,0,30,20,0,20,0,0,1,6.1380077922134
"Saguinus midas","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,6.29341927884648
"Saguinus mystax","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,6.4281052726846
"Saguinus pileatus","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,6.1380077922134
"Saguinus nigricollis","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,6.13772705408623
"Saguinus bicolor","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,6.14418563412565
"Saguinus fuscicollis","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,5.96100533962327
"Saguinus leucopus","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,6.08904487544685
"Saguinus tripartitus","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,5.97761914028593
"Saguinus geoffroyi","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,6.1892902904379
"Saguinus oedipus","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,6.06610809010375
"Saguinus martinsi","Cebidae",10,0,0,0,20,0,30,20,0,20,0,0,1,6.1380077922134
"Saguinus labiatus","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,6.35610766069589
"Saguinus inustus","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,6.01980902011712
"Saguinus imperator","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,5.99396142730657
"Saguinus graellsi","Cebidae",10,0,0,0,10,0,40,40,0,0,0,0,1,6.1380077922134
"Saguinus melanoleucus","Cebidae",40,0,0,0,0,0,30,30,0,0,0,0,1,6.1380077922134
"Callimico goeldii","Cebidae",40,0,0,0,10,0,50,0,0,0,0,0,1,6.17586727010576
"Callithrix flaviceps","Cebidae",20,0,0,0,10,0,30,40,0,0,0,0,1,5.83773044716594
