"SpecName","PalmTribe","accGenus","accSpecies","Acaulescent","Erect","MaxStemHeight_m","AverageFruitLength_cm"
"Aiphanes linearis","Cocoseae","Aiphanes","linearis",0,1,2.56494935746154,1.70474809223843
"Aiphanes macroloba","Cocoseae","Aiphanes","macroloba",0,1,1.38629436111989,0.693147180559945
"Aiphanes minima","Cocoseae","Aiphanes","minima",0,1,2.94443897916644,0.8754687373539
"Aiphanes multiplex","Cocoseae","Aiphanes","multiplex",0,1,NA,0.955511445027436
"Aiphanes parvifolia","Cocoseae","Aiphanes","parvifolia",0,1,1.09861228866811,0.615185639090233
"Aiphanes pilaris","Cocoseae","Aiphanes","pilaris",0,1,2.07944154167984,1.7404661748405
"Aiphanes simplex","Cocoseae","Aiphanes","simplex",0,1,1.6094379124341,0.641853886172395
"Aiphanes spicata","Cocoseae","Aiphanes","spicata",1,0,0.262364264467491,0.693147180559945
"Aiphanes stergiosii","Cocoseae","Aiphanes","stergiosii",0,1,NA,NA
"Aiphanes tricuspidata","Cocoseae","Aiphanes","tricuspidata",0,1,1.70474809223843,0.559615787935423
"Aiphanes ulei","Cocoseae","Aiphanes","ulei",0,1,1.94591014905531,0.53062825106217
"Aiphanes verrucosa","Cocoseae","Aiphanes","verrucosa",0,1,2.19722457733622,1.17865499634165
"Aiphanes weberbaueri","Cocoseae","Aiphanes","weberbaueri",0,1,0.916290731874155,0.615185639090233
"Allagoptera arenaria","Cocoseae","Allagoptera","arenaria",1,0,0.182321556793955,0.955511445027436
"Allagoptera brevicalyx","Cocoseae","Allagoptera","brevicalyx",1,0,1.09861228866811,1.01160091167848
"Allagoptera campestris","Cocoseae","Allagoptera","campestris",1,0,0.182321556793955,0.854415328156068
"Allagoptera caudescens","Cocoseae","Allagoptera","caudescens",0,1,2.19722457733622,1.65822807660353
"Allagoptera leucocalyx","Cocoseae","Allagoptera","leucocalyx",1,0,1.09861228866811,1.2947271675944
"Ammandra decasperma","Phytelepheae","Ammandra","decasperma",1,0,0.916290731874155,2.39789527279837
"Aphandra natalia","Phytelepheae","Aphandra","natalia",0,1,2.484906649788,1.74919985480926
"Archontophoenix alexandrae","Areceae","Archontophoenix","alexandrae",0,1,3.43398720448515,0.741937344729377
"Archontophoenix cunninghamiana","Areceae","Archontophoenix","cunninghamiana",0,1,3.43398720448515,0.810930216216329
"Archontophoenix maxima","Areceae","Archontophoenix","maxima",0,1,3.13549421592915,0.810930216216329
"Archontophoenix myolensis","Areceae","Archontophoenix","myolensis",0,1,3.04452243772342,0.993251773010283
"Archontophoenix purpurea","Areceae","Archontophoenix","purpurea",0,1,3.25809653802148,1.19392246847243
"Archontophoenix tuckeri","Areceae","Archontophoenix","tuckeri",0,1,3.04452243772342,1.09861228866811
"Areca abdulrahmanii","Areceae","Areca","abdulrahmanii",1,0,1.25276296849537,1.6094379124341
"Areca ahmadii","Areceae","Areca","ahmadii",1,0,0.0769610411361283,1.66770682055808
"Areca andersonii","Areceae","Areca","andersonii",1,0,1.25276296849537,1.1314021114911
"Areca arundinacea","Areceae","Areca","arundinacea",1,0,1.25276296849537,1.06471073699243
"Areca bakeri","Areceae","Areca","bakeri",0,1,NA,1.9823798288367
"Areca brachypoda","Areceae","Areca","brachypoda",1,0,0.0582689081239758,1.16315080980568
"Areca caliso","Areceae","Areca","caliso",0,1,1.94591014905531,1.38629436111989
"Areca camarinensis","Areceae","Areca","camarinensis",0,1,1.38629436111989,1.79175946922805
"Areca catechu","Areceae","Areca","catechu",0,1,3.25809653802148,2.01490302054226
"Areca chaiana","Areceae","Areca","chaiana",0,1,1.38629436111989,1.38629436111989
"Areca churchii","Areceae","Areca","churchii",0,1,NA,NA
"Areca concinna","Areceae","Areca","concinna",0,1,1.79175946922805,1.38629436111989
"Areca congesta","Areceae","Areca","congesta",0,1,NA,NA
"Areca costulata","Areceae","Areca","costulata",0,1,1.79175946922805,NA
"Areca dayung","Areceae","Areca","dayung",0,1,NA,NA
"Areca dransfieldii","Areceae","Areca","dransfieldii",0,1,NA,1.56861591791385
"Areca furcata","Areceae","Areca","furcata",0,1,1.09861228866811,0.693147180559945
"Areca gurita","Areceae","Areca","gurita",0,1,NA,1.09861228866811
"Areca hutchinsoniana","Areceae","Areca","hutchinsoniana",0,1,1.38629436111989,1.38629436111989
"Areca insignis","Areceae","Areca","insignis",1,0,1.50407739677627,1.16315080980568
"Areca ipot","Areceae","Areca","ipot",0,1,1.6094379124341,1.79175946922805
"Areca jugahpunya","Areceae","Areca","jugahpunya",1,0,0.916290731874155,1.87180217690159
"Areca kinabaluensis","Areceae","Areca","kinabaluensis",0,1,1.79175946922805,1.09861228866811
"Areca klingkangensis","Areceae","Areca","klingkangensis",0,1,1.6094379124341,1.28093384546206
"Areca laosensis","Areceae","Areca","laosensis",0,1,1.94591014905531,2.14006616349627
"Areca ledermanniana","Areceae","Areca","ledermanniana",0,1,NA,NA
"Areca macrocalyx","Areceae","Areca","macrocalyx",0,1,2.39789527279837,1.55814461804655
"Areca mandacanii","Areceae","Areca","mandacanii",0,1,NA,1.70292825552144
"Areca minuta","Areceae","Areca","minuta",0,1,1.09861228866811,0.78845736036427
"Areca mogeana","Areceae","Areca","mogeana",0,1,NA,0.916290731874155
"Areca montana","Areceae","Areca","montana",0,1,1.6094379124341,1.25276296849537
"Areca novohibernica","Areceae","Areca","novohibernica",0,1,1.6094379124341,1.43508452528932
"Areca oxycarpa","Areceae","Areca","oxycarpa",0,1,1.09861228866811,1.25276296849537
"Areca parens","Areceae","Areca","parens",0,1,3.25809653802148,1.94591014905531
"Areca rheophytica","Areceae","Areca","rheophytica",0,1,1.09861228866811,1.09861228866811
"Areca ridleyana","Areceae","Areca","ridleyana",0,1,1.25276296849537,0.405465108108164
"Areca riparia","Areceae","Areca","riparia",0,1,NA,1.22377543162212
"Areca songthanhensis","Areceae","Areca","songthanhensis",0,1,0.916290731874155,1.38629436111989
"Areca subacaulis","Areceae","Areca","subacaulis",1,0,0.916290731874155,1.25276296849537
"Areca triandra","Areceae","Areca","triandra",0,1,1.94591014905531,1.25276296849537
"Areca triginticollina","Areceae","Areca","triginticollina",0,1,NA,NA
"Areca tunku","Areceae","Areca","tunku",0,1,1.79175946922805,1.70474809223843
"Areca vestiaria","Areceae","Areca","vestiaria",0,1,2.77258872223978,1.09861228866811
"Areca vidaliana","Areceae","Areca","vidaliana",0,1,1.38629436111989,0.8754687373539
"Areca whitfordii","Areceae","Areca","whitfordii",0,1,2.39789527279837,1.70474809223843
"Arenga australasica","Caryoteae","Arenga","australasica",0,1,3.04452243772342,0.993251773010283
"Arenga brevipes","Caryoteae","Arenga","brevipes",0,1,2.77258872223978,1.2947271675944
"Arenga caudata","Caryoteae","Arenga","caudata",0,1,0.916290731874155,0.916290731874155
"Arenga distincta","Caryoteae","Arenga","distincta",0,1,1.79175946922805,0.693147180559945
"Arenga engleri","Caryoteae","Arenga","engleri",0,1,1.6094379124341,0.916290731874155
"Arenga hastata","Caryoteae","Arenga","hastata",0,1,1.09861228866811,0.53062825106217
"Arenga hookeriana","Caryoteae","Arenga","hookeriana",0,1,0.405465108108164,0.78845736036427
"Arenga listeri","Caryoteae","Arenga","listeri",0,1,3.04452243772342,0.916290731874155
"Arenga longicarpa","Caryoteae","Arenga","longicarpa",0,1,1.38629436111989,1.02961941718116
"Arenga longipes","Caryoteae","Arenga","longipes",1,0,0.22314355131421,NA
"Arenga micrantha","Caryoteae","Arenga","micrantha",0,1,1.09861228866811,NA
"Arenga microcarpa","Caryoteae","Arenga","microcarpa",0,1,2.19722457733622,0.89199803930511
"Arenga mindorensis","Caryoteae","Arenga","mindorensis",1,0,0.262364264467491,NA
"Arenga obtusifolia","Caryoteae","Arenga","obtusifolia",0,1,3.04452243772342,1.94591014905531
"Arenga pinnata","Caryoteae","Arenga","pinnata",0,1,3.04452243772342,2.07944154167984
"Arenga plicata","Caryoteae","Arenga","plicata",0,1,0.916290731874155,NA
"Arenga porphyrocarpa","Caryoteae","Arenga","porphyrocarpa",0,1,1.22377543162212,0.916290731874155
"Arenga retroflorescens","Caryoteae","Arenga","retroflorescens",1,0,0.587786664902119,1.23837423104327
"Arenga ryukyuensis","Caryoteae","Arenga","ryukyuensis",0,1,1.09861228866811,1.02961941718116
"Arenga talamauensis","Caryoteae","Arenga","talamauensis",0,1,1.09861228866811,NA
"Arenga tremula","Caryoteae","Arenga","tremula",0,1,1.6094379124341,0.832909122935104
"Arenga undulatifolia","Caryoteae","Arenga","undulatifolia",0,1,2.39789527279837,1.79175946922805
"Arenga westerhoutii","Caryoteae","Arenga","westerhoutii",0,1,3.04452243772342,2.07944154167984
"Arenga wightii","Caryoteae","Arenga","wightii",0,1,2.07944154167984,1.25276296849537
"Asterogyne guianensis","Geonomateae","Asterogyne","guianensis",0,1,1.38629436111989,1.25276296849537
"Asterogyne martiana","Geonomateae","Asterogyne","martiana",0,1,1.09861228866811,0.693147180559945
"Asterogyne ramosa","Geonomateae","Asterogyne","ramosa",0,1,1.38629436111989,NA
"Asterogyne spicata","Geonomateae","Asterogyne","spicata",0,1,2.19722457733622,NA
"Asterogyne yaracuyense","Geonomateae","Asterogyne","yaracuyense",0,1,2.19722457733622,NA
"Astrocaryum acaule","Cocoseae","Astrocaryum","acaule",1,0,0.693147180559945,1.6094379124341
"Astrocaryum aculeatissimum","Cocoseae","Astrocaryum","aculeatissimum",0,1,2.19722457733622,1.87180217690159
"Astrocaryum aculeatum","Cocoseae","Astrocaryum","aculeatum",0,1,3.04452243772342,1.87180217690159
"Astrocaryum alatum","Cocoseae","Astrocaryum","alatum",0,1,2.07944154167984,1.28093384546206
"Astrocaryum campestre","Cocoseae","Astrocaryum","campestre",1,0,0,1.44691898293633
"Astrocaryum carnosum","Cocoseae","Astrocaryum","carnosum",0,1,1.6094379124341,0.8754687373539
"Astrocaryum chambira","Cocoseae","Astrocaryum","chambira",0,1,3.43398720448515,2.07944154167984
"Astrocaryum chonta","Cocoseae","Astrocaryum","chonta",0,1,2.07944154167984,1.85629799036563
"Astrocaryum confertum","Cocoseae","Astrocaryum","confertum",0,1,2.89037175789616,1.38629436111989
"Astrocaryum echinatum","Cocoseae","Astrocaryum","echinatum",0,1,NA,1.64865862558738
"Astrocaryum faranae","Cocoseae","Astrocaryum","faranae",0,1,2.39789527279837,1.96009478404727
"Astrocaryum ferrugineum","Cocoseae","Astrocaryum","ferrugineum",0,1,2.19722457733622,1.84054963339749
"Astrocaryum giganteum","Cocoseae","Astrocaryum","giganteum",1,0,1.6094379124341,1.6094379124341
"Astrocaryum gratum","Cocoseae","Astrocaryum","gratum",0,1,1.79175946922805,1.8484548129046
"Astrocaryum huaimi","Cocoseae","Astrocaryum","huaimi",0,1,2.07944154167984,1.51512723296286
"Astrocaryum huicungo","Cocoseae","Astrocaryum","huicungo",0,1,1.09861228866811,1.79175946922805
"Astrocaryum jauari","Cocoseae","Astrocaryum","jauari",0,1,3.04452243772342,1.50407739677627
"Astrocaryum javarense","Cocoseae","Astrocaryum","javarense",0,1,1.6094379124341,1.80828877117927
"Astrocaryum macrocalyx","Cocoseae","Astrocaryum","macrocalyx",0,1,2.30258509299405,2.19722457733622
"Astrocaryum malybo","Cocoseae","Astrocaryum","malybo",1,0,0,NA
"Astrocaryum mexicanum","Cocoseae","Astrocaryum","mexicanum",0,1,1.94591014905531,1.50407739677627
"Astrocaryum minus","Cocoseae","Astrocaryum","minus",0,1,1.38629436111989,0.78845736036427
"Astrocaryum murumuru","Cocoseae","Astrocaryum","murumuru",0,1,2.77258872223978,2.11021320034659
"Astrocaryum paramaca","Cocoseae","Astrocaryum","paramaca",0,1,2.19722457733622,1.55814461804655
"Astrocaryum perangustatum","Cocoseae","Astrocaryum","perangustatum",0,1,1.6094379124341,2.19722457733622
"Astrocaryum rodriguesii","Cocoseae","Astrocaryum","rodriguesii",0,1,3.04452243772342,1.6094379124341
"Astrocaryum sciophilum","Cocoseae","Astrocaryum","sciophilum",0,1,2.56494935746154,2.04769284336526
"Astrocaryum scopatum","Cocoseae","Astrocaryum","scopatum",0,1,NA,NA
"Astrocaryum standleyanum","Cocoseae","Astrocaryum","standleyanum",0,1,2.77258872223978,1.87180217690159
"Astrocaryum triandrum","Cocoseae","Astrocaryum","triandrum",0,1,1.79175946922805,1.79175946922805
"Astrocaryum tucuma","Cocoseae","Astrocaryum","tucuma",0,1,NA,NA
"Astrocaryum ulei","Cocoseae","Astrocaryum","ulei",0,1,2.19722457733622,1.73165554515835
"Astrocaryum urostachys","Cocoseae","Astrocaryum","urostachys",0,1,2.39789527279837,2.14006616349627
"Astrocaryum vulgare","Cocoseae","Astrocaryum","vulgare",0,1,2.77258872223978,1.65822807660353
"Attalea allenii","Cocoseae","Attalea","allenii",1,0,0,2.07944154167984
"Attalea amygdalina","Cocoseae","Attalea","amygdalina",1,0,0.405465108108164,2.14006616349627
"Attalea amylacea","Cocoseae","Attalea","amylacea",0,1,NA,NA
"Attalea anisitsiana","Cocoseae","Attalea","anisitsiana",1,0,0,NA
"Attalea apoda","Cocoseae","Attalea","apoda",0,1,2.63905732961526,1.94591014905531
"Attalea attaleoides","Cocoseae","Attalea","attaleoides",1,0,0,1.79175946922805
"Attalea barreirensis","Cocoseae","Attalea","barreirensis",1,0,0,1.83258146374831
"Attalea bassleriana","Cocoseae","Attalea","bassleriana",0,1,NA,2.30757263450508
"Attalea blepharopus","Cocoseae","Attalea","blepharopus",0,1,NA,NA
"Attalea brasiliensis","Cocoseae","Attalea","brasiliensis",0,1,1.94591014905531,1.94591014905531
"Attalea brejinhoensis","Cocoseae","Attalea","brejinhoensis",0,1,3.43398720448515,2.30258509299405
"Attalea burretiana","Cocoseae","Attalea","burretiana",0,1,NA,2.1126345090356
"Attalea butyracea","Cocoseae","Attalea","butyracea",0,1,3.25809653802148,2.22462355152433
"Attalea camopiensis","Cocoseae","Attalea","camopiensis",1,0,0,NA
"Attalea cephalotus","Cocoseae","Attalea","cephalotus",0,1,NA,NA
"Attalea cohune","Cocoseae","Attalea","cohune",0,1,3.25809653802148,1.94591014905531
"Attalea colenda","Cocoseae","Attalea","colenda",0,1,3.58351893845611,1.79175946922805
"Attalea compta","Cocoseae","Attalea","compta",0,1,2.77258872223978,2.27726728500976
"Attalea crassispatha","Cocoseae","Attalea","crassispatha",0,1,3.04452243772342,1.55814461804655
"Attalea cuatrecasana","Cocoseae","Attalea","cuatrecasana",1,0,0,2.60268968544438
"Attalea dahlgreniana","Cocoseae","Attalea","dahlgreniana",0,1,2.77258872223978,2.14006616349627
"Attalea degranvillei","Cocoseae","Attalea","degranvillei",1,0,0,NA
"Attalea dubia","Cocoseae","Attalea","dubia",0,1,3.25809653802148,1.98100146886658
"Attalea eichleri","Cocoseae","Attalea","eichleri",1,0,0.916290731874155,2.14006616349627
"Attalea exigua","Cocoseae","Attalea","exigua",1,0,0,1.79175946922805
"Attalea fairchildensis","Cocoseae","Attalea","fairchildensis",0,1,NA,NA
"Attalea funifera","Cocoseae","Attalea","funifera",0,1,2.77258872223978,2.60268968544438
"Attalea geraensis","Cocoseae","Attalea","geraensis",1,0,0,1.94591014905531
"Attalea guacuyule","Cocoseae","Attalea","guacuyule",0,1,NA,NA
"Attalea guianensis","Cocoseae","Attalea","guianensis",1,0,0,NA
"Attalea hoehnei","Cocoseae","Attalea","hoehnei",1,0,0,NA
"Attalea huebneri","Cocoseae","Attalea","huebneri",0,1,NA,NA
"Attalea humilis","Cocoseae","Attalea","humilis",1,0,0,2.01490302054226
"Attalea iguadummat","Cocoseae","Attalea","iguadummat",1,0,0,2.2512917986065
"Attalea insignis","Cocoseae","Attalea","insignis",1,0,0,2.14006616349627
"Attalea kewensis","Cocoseae","Attalea","kewensis",0,1,NA,NA
"Attalea lauromuelleriana","Cocoseae","Attalea","lauromuelleriana",0,1,NA,NA
"Attalea luetzelburgii","Cocoseae","Attalea","luetzelburgii",1,0,0,1.83258146374831
"Attalea macrolepis","Cocoseae","Attalea","macrolepis",0,1,NA,NA
"Attalea magdalenica","Cocoseae","Attalea","magdalenica",0,1,NA,NA
"Attalea maracaibensis","Cocoseae","Attalea","maracaibensis",0,1,NA,NA
"Attalea maripa","Cocoseae","Attalea","maripa",0,1,3.04452243772342,1.79175946922805
"Attalea maripensis","Cocoseae","Attalea","maripensis",1,0,0,NA
"Attalea microcarpa","Cocoseae","Attalea","microcarpa",1,0,0,1.55814461804655
"Attalea minarum","Cocoseae","Attalea","minarum",0,1,NA,NA
"Attalea moorei","Cocoseae","Attalea","moorei",0,1,NA,NA
"Attalea nucifera","Cocoseae","Attalea","nucifera",1,0,0,2.04769284336526
"Attalea oleifera","Cocoseae","Attalea","oleifera",0,1,3.43398720448515,2.30258509299405
"Attalea osmantha","Cocoseae","Attalea","osmantha",0,1,NA,NA
"Attalea peruviana","Cocoseae","Attalea","peruviana",0,1,NA,NA
"Attalea phalerata","Cocoseae","Attalea","phalerata",0,1,2.39789527279837,2.2512917986065
"Attalea piassabossu","Cocoseae","Attalea","piassabossu",0,1,2.77258872223978,2.19722457733622
"Attalea pindobassu","Cocoseae","Attalea","pindobassu",0,1,2.77258872223978,2.12823170584927
"Attalea plowmanii","Cocoseae","Attalea","plowmanii",1,0,0,2.484906649788
"Attalea princeps","Cocoseae","Attalea","princeps",0,1,2.77258872223978,2.07944154167984
"Attalea racemosa","Cocoseae","Attalea","racemosa",1,0,0,2.14006616349627
"Attalea rostrata","Cocoseae","Attalea","rostrata",0,1,0.916290731874155,NA
"Attalea salazarii","Cocoseae","Attalea","salazarii",0,1,NA,NA
"Attalea salvadorensis","Cocoseae","Attalea","salvadorensis",0,1,3.43398720448515,2.30258509299405
"Attalea seabrensis","Cocoseae","Attalea","seabrensis",0,1,3.04452243772342,2.14006616349627
"Attalea septuagenata","Cocoseae","Attalea","septuagenata",0,1,2.56494935746154,2.46385324059017
"Attalea speciosa","Cocoseae","Attalea","speciosa",0,1,3.04452243772342,2.35612585992208
"Attalea spectabilis","Cocoseae","Attalea","spectabilis",1,0,0.693147180559945,1.87180217690159
"Attalea tessmannii","Cocoseae","Attalea","tessmannii",0,1,2.99573227355399,2.60268968544438
"Attalea vitrivir","Cocoseae","Attalea","vitrivir",0,1,3.04452243772342,2.56494935746154
"Attalea voeksii","Cocoseae","Attalea","voeksii",0,1,NA,NA
"Attalea weberbaueri","Cocoseae","Attalea","weberbaueri",1,0,0,NA
"Attalea wesselsboeri","Cocoseae","Attalea","wesselsboeri",0,1,NA,NA
"Bactris acanthocarpa","Cocoseae","Bactris","acanthocarpa",1,0,1.09861228866811,0.8754687373539
"Bactris acanthocarpoides","Cocoseae","Bactris","acanthocarpoides",0,1,1.6094379124341,0.955511445027436
"Bactris ana-juliae","Cocoseae","Bactris","ana-juliae",0,1,1.38629436111989,0.741937344729377
"Bactris aubletiana","Cocoseae","Bactris","aubletiana",0,1,1.09861228866811,0.470003629245736
"Bactris bahiensis","Cocoseae","Bactris","bahiensis",0,1,1.38629436111989,0.916290731874155
"Bactris balanophora","Cocoseae","Bactris","balanophora",0,1,2.07944154167984,0.916290731874155
"Bactris barronis","Cocoseae","Bactris","barronis",0,1,2.19722457733622,0.832909122935104
"Bactris bidentula","Cocoseae","Bactris","bidentula",0,1,1.6094379124341,1.09861228866811
"Bactris bifida","Cocoseae","Bactris","bifida",0,1,1.6094379124341,1.25276296849537
"Bactris brongniartii","Cocoseae","Bactris","brongniartii",0,1,1.94591014905531,0.916290731874155
"Bactris campestris","Cocoseae","Bactris","campestris",0,1,1.79175946922805,0.500775287912489
"Bactris caryotifolia","Cocoseae","Bactris","caryotifolia",0,1,0.916290731874155,0.8754687373539
"Bactris caudata","Cocoseae","Bactris","caudata",0,1,1.79175946922805,0.741937344729377
"Bactris charnleyae","Cocoseae","Bactris","charnleyae",0,1,1.09861228866811,0.500775287912489
"Bactris chaveziae","Cocoseae","Bactris","chaveziae",0,1,1.6094379124341,1.32175583998232
"Bactris coloniata","Cocoseae","Bactris","coloniata",0,1,2.07944154167984,1.17865499634165
"Bactris coloradonis","Cocoseae","Bactris","coloradonis",0,1,2.39789527279837,1.09861228866811
"Bactris concinna","Cocoseae","Bactris","concinna",0,1,2.19722457733622,1.44691898293633
"Bactris constanciae","Cocoseae","Bactris","constanciae",0,1,1.79175946922805,1.09861228866811
"Bactris corossilla","Cocoseae","Bactris","corossilla",0,1,1.94591014905531,1.17865499634165
"Bactris cubensis","Cocoseae","Bactris","cubensis",0,1,1.94591014905531,0.810930216216329
"Bactris cuspidata","Cocoseae","Bactris","cuspidata",0,1,0.916290731874155,0.693147180559945
"Bactris dianeura","Cocoseae","Bactris","dianeura",0,1,1.79175946922805,0.916290731874155
"Bactris elegans","Cocoseae","Bactris","elegans",0,1,1.50407739677627,0.854415328156068
"Bactris faucium","Cocoseae","Bactris","faucium",0,1,1.94591014905531,1.09861228866811
"Bactris ferruginea","Cocoseae","Bactris","ferruginea",0,1,2.39789527279837,0.974559639998131
"Bactris fissifrons","Cocoseae","Bactris","fissifrons",0,1,1.38629436111989,1.32175583998232
"Bactris gasipaes","Cocoseae","Bactris","gasipaes",0,1,2.94443897916644,1.79175946922805
"Bactris gastoniana","Cocoseae","Bactris","gastoniana",1,0,0.470003629245736,1.32175583998232
"Bactris glandulosa","Cocoseae","Bactris","glandulosa",0,1,1.79175946922805,0.717839793150317
"Bactris glassmanii","Cocoseae","Bactris","glassmanii",0,1,1.38629436111989,0.832909122935104
"Bactris glaucescens","Cocoseae","Bactris","glaucescens",0,1,1.6094379124341,0.955511445027436
"Bactris gracilior","Cocoseae","Bactris","gracilior",0,1,1.6094379124341,0.765467842139571
"Bactris grayumii","Cocoseae","Bactris","grayumii",0,1,1.50407739677627,0.765467842139571
"Bactris guineensis","Cocoseae","Bactris","guineensis",0,1,1.38629436111989,1.01160091167848
"Bactris halmoorei","Cocoseae","Bactris","halmoorei",0,1,2.19722457733622,0.916290731874155
"Bactris hatschbachii","Cocoseae","Bactris","hatschbachii",0,1,1.79175946922805,1.11514159061932
"Bactris herrerana","Cocoseae","Bactris","herrerana",0,1,1.38629436111989,0.78845736036427
"Bactris hirta","Cocoseae","Bactris","hirta",0,1,1.38629436111989,0.559615787935423
"Bactris horridispatha","Cocoseae","Bactris","horridispatha",0,1,1.94591014905531,1.44691898293633
"Bactris jamaicana","Cocoseae","Bactris","jamaicana",0,1,2.56494935746154,0.741937344729377
"Bactris killipii","Cocoseae","Bactris","killipii",0,1,0.470003629245736,0.896088024556636
"Bactris kunorum","Cocoseae","Bactris","kunorum",0,1,1.94591014905531,0.974559639998131
"Bactris longiseta","Cocoseae","Bactris","longiseta",0,1,1.70474809223843,0.936093359170335
"Bactris macroacantha","Cocoseae","Bactris","macroacantha",0,1,1.6094379124341,1.34807314829969
"Bactris major","Cocoseae","Bactris","major",0,1,2.39789527279837,1.50407739677627
"Bactris maraja","Cocoseae","Bactris","maraja",0,1,2.07944154167984,0.916290731874155
"Bactris martiana","Cocoseae","Bactris","martiana",0,1,2.19722457733622,1.70474809223843
"Bactris mexicana","Cocoseae","Bactris","mexicana",0,1,1.38629436111989,0.78845736036427
"Bactris militaris","Cocoseae","Bactris","militaris",0,1,1.79175946922805,0.955511445027436
"Bactris nancibaensis","Cocoseae","Bactris","nancibaensis",0,1,NA,1.09861228866811
"Bactris obovata","Cocoseae","Bactris","obovata",0,1,NA,NA
"Bactris oligocarpa","Cocoseae","Bactris","oligocarpa",0,1,0.916290731874155,1.04731899428056
"Bactris oligoclada","Cocoseae","Bactris","oligoclada",0,1,1.38629436111989,0.810930216216329
"Bactris panamensis","Cocoseae","Bactris","panamensis",0,1,1.38629436111989,0.615185639090233
"Bactris pickelii","Cocoseae","Bactris","pickelii",0,1,1.38629436111989,0.854415328156068
"Bactris pilosa","Cocoseae","Bactris","pilosa",0,1,2.39789527279837,1.17865499634165
"Bactris pliniana","Cocoseae","Bactris","pliniana",0,1,1.38629436111989,1.09861228866811
"Bactris plumeriana","Cocoseae","Bactris","plumeriana",0,1,2.39789527279837,0.955511445027436
"Bactris polystachya","Cocoseae","Bactris","polystachya",0,1,NA,NA
"Bactris ptariana","Cocoseae","Bactris","ptariana",0,1,1.38629436111989,0.615185639090233
"Bactris rhaphidacantha","Cocoseae","Bactris","rhaphidacantha",0,1,0.916290731874155,0.810930216216329
"Bactris riparia","Cocoseae","Bactris","riparia",0,1,2.39789527279837,0.693147180559945
